"reaction number","true rclass","true reaction smiles","pred reaction smiles","true prod","pred prod","conf","projID","predID","true_deltaCM","true_deltaSA","fwdpred_deltaCM","fwdpred_deltaSA"
50.,"asub","ClC1=CC=CC(Cl)=C1.O[N+]([O-])=O.O=S(O)(O)=O>>ClC2=CC=C([N+]([O-])=O)C(Cl)=C2","Clc1cccc(Cl)c1.O=S(=O)(O)O.O=[N+]([O-])[O-].[K+].O=[N+]([O-])[O-].[K+]>>ClC2=CC=C([N+]([O-])=O)C(Cl)=C2","ClC2=CC=C([N+]([O-])=O)C(Cl)=C2","O=[N+]([O-])c1ccc(Cl)cc1Cl",0.9988303887727086,"602c6f13329a1000012c1466","6036ee1e71c8b60001360538",35.56094412012342,-4.159345487399063,19.74716292890642,-22.880668533867045
51.,"dielsalder","O=C(/C=C\C(OC)=O)OC.C1=CCCC=C1>>O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O","C1=CCCC=C1.COC(=O)/C=C\C(=O)OC>>O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O","O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O","COC(=O)C1C2C=CC(CC2)C1C(=O)OC",0.9285635392059461,"602c6f49329a1000012c147a","6036ef6d71c8b60001360812",134.37895002019238,-0.8312269636535135,134.37895002019238,-0.8312269636535135
52.,"dielsalder","C=CC=C.C=C>>C1=CCCCC1","[H][H].c1ccccc1>>C1=CCCCC1","C1=CCCCC1","{""""""""[H][H].c1ccccc1""""""""}[[2]]",0.8101875527691399,"602c6f49329a1000012c147a","6036ef8671c8b60001360839",6.,-5.3090834940542875,8.415037499278844,-5.70130157731756
53.,"dielsalder","O=C(C=C1)C=CC1=O.C=C/C=C/C(O)=O>>[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O","O=C1C=CC(O)[C@H]2[C@@H]1CC=C[C@H]2C(O)O.CC(C)=O.CC(C)=O.O=S(=O)(O)O.O=[Cr](=O)=O>>[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O","[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O","O=C(O)[C@@H]1C=CC[C@H]2C(=O)C=CC(=O)[C@@H]12",0.2863017889346478,"602c6f49329a1000012c147a","6036ef9e71c8b6000136085c",99.52932501298082,-1.0935272971651502,-104.64361252668277,-11.245167417752242
54.,"dielsalder","CC(/C(SC1=CC=CC=C1)=C/OC(C)=O)=O.C=COCC>>CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2","CCO[C@H]1C[C@@H](O)C(Sc2ccccc2)=C(C)O1.CC(=O)OC(C)=O.c1ccncc1>>CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2","CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2","CCO[C@H]1C[C@@H](OC(C)=O)C(Sc2ccccc2)=C(C)O1",0.9994274312721191,"602c6f49329a1000012c147a","6036efb771c8b6000136087f",67.52932501298079,-2.3375581159961465,-30.908518696265162,-3.732966303894796
55.,"dielsalder","C=C/C=C/C.C=CC(OC)=O>>C[C@H]1C=CCC[C@H]1C(OC)=O","C[C@H]1C=CCC[C@H]1C(=O)O.CO.O=C([O-])O.[Na+].O=S(=O)(O)O>>C[C@H]1C=CCC[C@H]1C(OC)=O","C[C@H]1C=CCC[C@H]1C(OC)=O","COC(=O)[C@@H]1CCC=C[C@@H]1C",0.9829671709472597,"602c6f49329a1000012c147a","6036efd271c8b600013608aa",34.67970000576925,-2.6860125966181174,-70.52932501298082,-16.343321714756165
56.,"dielsalder","C=CC=C.O=C(/C=C\C(OC)=O)OC>>O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC","CC(=O)Cl.CO.O=C(O)[C@H]1CC=CC[C@H]1C(=O)O>>O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC","O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC","COC(=O)[C@H]1CC=CC[C@H]1C(=O)OC",0.860441625876982,"602c6f49329a1000012c147a","6036f05871c8b60001360944",101.52932501298079,-2.686192083295759,-33.614709844115225,-4.855035443157363
57.,"dielsalder","C=CC=C.O=C(/C=C/C(OC)=O)OC>>O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC","CO.O=C(O)[C@@H]1CC=CC[C@H]1C(=O)O.O=S(Cl)Cl>>O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC","O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC","{""""""""CO.O=C(O)[C@@H]1CC=CC[C@H]1C(=O)O.O=S(Cl)Cl""""""""}[[2]]",0.9961648376637448,"602c6f49329a1000012c147a","6036f07171c8b6000136096b",17.33985000288463,-2.686192083295759,-36.29440984988446,-6.74745852008044
58.,"dielsalder","C/C=C/C=C\C.O=C(C#CC(OC)=O)OC>>C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1","COC(=O)C1=C(C(=O)O)[C@H](C)C=C[C@H]1C.CI.CN(C)C=O.O=C([O-])[O-].[K+].[K+]>>C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1","C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1","COC(=O)C1=C(C(=O)OC)[C@H](C)C=C[C@H]1C",0.9988514434297671,"602c6f49329a1000012c147a","6036f08971c8b6000136098f",2.000000000000014,-2.5759699601282975,-165.281372243857,-27.260961987011626
59.,"dielsalder","C=CC=C.O=C(C=C1)OC1=O>>O=C([C@@H]2[C@H]3CC=CC2)OC3=O","CC(=O)OC(C)=O.O=C(O)[C@@H]1CC=CC[C@H]1C(=O)O.c1ccncc1>>O=C([C@@H]2[C@H]3CC=CC2)OC3=O","O=C([C@@H]2[C@H]3CC=CC2)OC3=O","O=C1OC(=O)[C@@H]2CC=CC[C@H]12",0.7246303790050945,"602c6f49329a1000012c147a","6036f0a371c8b600013609b6",90.35940001153851,-3.14584905984778,1.7711813095041293,-3.1015814167008804
60.,"dielsalder","CC(C(C)=C)=C.CC(/C=C/C(C)=O)=O>>CC1=C(C)C[C@@H](C(C)=O)[C@H](C(C)=O)C1","C=C(C)[C@@H]1CC(C)=C(C)C[C@H]1C(=C)O[Si](C)(C)C.ClCCl.Cl[Sn](Cl)(Cl)Cl>>CC1=C(C)C[C@@H](C(C)=O)[C@H](C(C)=O)C1","CC1=C(C)C[C@@H](C(C)=O)[C@H](C(C)=O)C1","C=C(C)[C@@H]1CC(C)=C(C)C[C@H]1C(C)=O",0.228347104803755,"602c6f49329a1000012c147a","6036f0bb71c8b600013609dc",17.339850002884624,-1.7484398692142618,-134.69375453955718,-7.65752897318954
61.,"amine","CC(C(Cl)=O)C.N>>CC(C(N)=O)C","CC(C)C(=O)Cl.[NH4+].[OH-].[NH4+].[OH-]>>CC(C(N)=O)C","CC(C(N)=O)C","CC(C)C(N)=O",0.9993916757560259,"602dcdc7329a1000012d9ee2","6036f33471c8b6000136122c",-0.9708536543404875,-6.975199999999999,-0.9708536543404875,-34.22567693643216
62.,"amine","O=C1CCCC1.NC2=CC=CC=C2>>C3(/CCCC3)=N/C4=CC=CC=C4","Nc1ccccc1.O=C1CCCC1.c1ccccc1>>C3(/CCCC3)=N/C4=CC=CC=C4","C3(/CCCC3)=N/C4=CC=CC=C4","c1ccc(N=C2CCCC2)cc1",0.9474624519546208,"602dcdc7329a1000012d9ee2","6036f34d71c8b60001361251",3.8137811912170463,-1.2115589534929008,-6.941106310946424,-2.2115589534929008
63.,"amine","CC(OC(C)=O)=O.NC1=CC=C(C)C=C1>>CC2=CC=C(NC(C)=O)C=C2","CC(=O)Cl.Cc1ccc(N)cc1>>CC2=CC=C(NC(C)=O)C=C2","CC2=CC=C(NC(C)=O)C=C2","CC(=O)Nc1ccc(C)cc1",0.9999912977688223,"602dcdc7329a1000012d9ee2","6036f36671c8b6000136127f",13.473931188332415,-2.4348585159592915,3.0291463456595125,-2.3764183831430117
64.,"amine","ClC(C1=CC=CC=C1)=O.C2CCNC2>>O=C(N3CCCC3)C4=CC=CC=C4","C1CCNC1.ClCCl.O.O=C(Cl)c1ccccc1>>O=C(N3CCCC3)C4=CC=CC=C4","O=C(N3CCCC3)C4=CC=CC=C4","O=C(c1ccccc1)N1CCCC1",0.9999948740209631,"602dcdc7329a1000012d9ee2","6036f37f71c8b600013612a1",3.368996348544158,-2.3988931253350536,-8.245713495571053,-11.095473240893114
65.,"amine","CNC1=CC=CC=C1.ON=O>>CN(N=O)C2=CC=CC=C2","CCO.CNc1ccccc1.O.O=N[O-].[Na+].O=N[O-].[Na+]>>CN(N=O)C2=CC=CC=C2","CN(N=O)C2=CC=CC=C2","CN(N=O)c1ccccc1",0.9954736698744124,"602dcdc7329a1000012d9ee2","6036f39771c8b600013612c2",4.983706192659355,-2.144889528313569,-42.15363119410165,-33.179618996876535
66.,"amine","ClC(C1=CC=CC=C1)=O.CCNCC>>O=C(N(CC)CC)C2=CC=CC=C2","CCNCC.O=C(Cl)c1ccccc1>>O=C(N(CC)CC)C2=CC=CC=C2","O=C(N(CC)CC)C2=CC=CC=C2","CCN(CC)C(=O)c1ccccc1",0.9999405180871391,"602dcdc7329a1000012d9ee2","6036f41e71c8b60001361353",3.368996348544158,-2.2161377874340857,3.368996348544158,-2.2161377874340857
67.,"amine","CC([H])=O.CN>>C/C([H])=N\C","CC=O.CN.O>>C/C([H])=N\C","C/C([H])=N\C","C/C=N/C",0.5486446550732871,"602dcdc7329a1000012d9ee2","6036f43771c8b6000136137b",3.813781191217032,-2.2629172957317794,3.813781191217032,-8.131394218808701
68.,"amine","O=C(C(O)=O)CCC(O)=O.N>>N=C(C(O)=O)CCC(O)=O","CCOC(=O)CCC(=N)C(=O)OCC.Cl>>N=C(C(O)=O)CCC(O)=O","N=C(C(O)=O)CCC(O)=O","{""""""""CCOC(=O)CCC(=N)C(=O)OCC.Cl""""""""}[[2]]",0.4294545341167769,"602dcdc7329a1000012d9ee2","6036f44f71c8b6000136139c",-0.5260688116675851,-6.047889846153847,-46.33985000288462,-5.997689954983361
69.,"amine","CCCCCCBr.N>>CCCCCCN","C1CCOC1.CCCCCC#N.[AlH4-].[Li+].[AlH4-].[Li+]>>CCCCCCN","CCCCCCN","CCCCCCN",0.9999904633186812,"602dcdc7329a1000012d9ee2","6036f46771c8b600013613bc",-0.9708536543404875,-6.984906882591092,-32.33985000288463,-35.37410231609149
70.,"amine","CCN.ClC(C)=O>>CCNC(C)=O","CC(=O)Cl.CCN.ClCCl>>CCNC(C)=O","CCNC(C)=O","CCNC(C)=O",0.9999753241343122,"602dcdc7329a1000012d9ee2","6036f48071c8b600013613e6",3.0291463456595125,-2.503359536816804,-8.585563498455699,-5.331462729297941
71.,"carbonylcondensation","O=C1C=C[C@@]2(C)[C@](CC=CC2)([H])C1.[H]C(OCC)=O.[O-]CC>>O=C3C=C[C@@]4(C)[C@](CC=CC4)([H])C3C([H])=O","C[C@]12C=CC(O)C(CO)[C@@H]1CC=CC2.CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21>>O=C3C=C[C@@]4(C)[C@](CC=CC4)([H])C3C([H])=O","O=C3C=C[C@@]4(C)[C@](CC=CC4)([H])C3C([H])=O","C[C@]12C=CC(=O)C(C=O)[C@@H]1CC=CC2",0.9854215578335801,"6031c42271c8b600012f8277","6036f5fc71c8b6000136156f",-32.00000000000003,-6.405210303973605,-258.22219717846633,-4.223805579590652
72.,"carbonylcondensation","O=C(OCC)C[C@H](N1C)CC[C@H]1CC(OCC)=O.[O-]CC>>O=C2[C@H](C(OCC)=O)[C@@H]3CC[C@@H](N3C)C2","CCOC(=O)[C@H]1[C@@H](O)C[C@H]2CC[C@@H]1N2C.[Cl-].[Cl-].[O+]#CC#[O+].CS(C)=O.ClCCl.[Cl-].[Cl-].[O+]#CC#[O+]>>O=C2[C@H](C(OCC)=O)[C@@H]3CC[C@@H](N3C)C2","O=C2[C@H](C(OCC)=O)[C@@H]3CC[C@@H](N3C)C2","CCOC(=O)[C@H]1C(=O)C[C@H]2CC[C@@H]1N2C",0.8992109520776018,"6031c42271c8b600012f8277","6036f61671c8b60001361592",-32.00000000000006,-2.790148113813113,-115.99365986430757,-53.760615806028206
73.,"carbonylcondensation","CCCCC([H])=O.[H]C(C(C)(C)C)=O.[O-]CC>>CC(C)(C)C(C([H])(CCC)C([H])=O)([H])O","CCCC(C#N)C(O)C(C)(C)C.CC(C)C[AlH]CC(C)C.ClCCl>>CC(C)(C)C(C([H])(CCC)C([H])=O)([H])O","CC(C)(C)C(C([H])(CCC)C([H])=O)([H])O","{""""""""CC(C)C[AlH]CC(C)C.CCCC(C#N)C(O)C(C)(C)C.ClCCl""""""""}[[2]]",0.9996347403387772,"6031c42271c8b600012f8277","6036f62e71c8b600013615b9",23.019550008653866,-4.942454274365143,-42.258566033889934,-6.874582102716729
74.,"carbonylcondensation","O=C(C)CCC(C)=O.[O-]CC>>O=C1CC(C)(O)CC1","CC1(O)CCC2(C1)OCCO2.C1CCOC1.Cl>>O=C1CC(C)(O)CC1","O=C1CC(C)(O)CC1","CC1(O)CCC(=O)C1",0.9999262137946425,"6031c42271c8b600012f8277","6036f64871c8b600013615da",61.999999999999986,-2.2858482534299096,-44.339850002884646,-8.757443055078014
75.,"carbonylcondensation","CC(CCCC(C)=O)=O.[O-]CC>>O=C1CC(C)(O)CCC1","CC1(O)CCCC2(C1)OCCO2.CC(C)=O.Cl>>O=C1CC(C)(O)CCC1","O=C1CC(C)(O)CCC1","CC1(O)CCCC(=O)C1",0.999965668419453,"6031c42271c8b600012f8277","6036f66171c8b600013615ff",64.99999999999999,-2.461198031260774,-44.339850002884646,-8.446733110483647
76.,"carbonylcondensation","O=C1CCCCC1.O=C(OCC)CC.[O-]CC>>O=C2C(C(CC)=O)CCCC2","CCC(=O)Cl.C[Si](C)(C)[N-][Si](C)(C)C.[Li+].O=C1CCCCC1.C[Si](C)(C)[N-][Si](C)(C)C.[Li+]>>O=C2C(C(CC)=O)CCCC2","O=C2C(C(CC)=O)CCCC2","CCC(=O)C1CCCCC1=O",0.9983044670991665,"6031c42271c8b600012f8277","6036f6e871c8b60001361682",-9.,-4.616859266005016,-64.39264721933773,-26.483492820382885
77.,"carbonylcondensation","O=C1CCCCC1.[H]C(OCC)=O.[O-]CC>>O=C2C(C([H])=O)CCCC2","C1CCOC1.CC(C)NC(C)C.CCCCCC.CCOC=O.O=C1CCCCC1>>O=C2C(C([H])=O)CCCC2","O=C2C(C([H])=O)CCCC2","O=C1CCCCC1=CO",0.66252591854432,"6031c42271c8b600012f8277","6036f70071c8b600013616a6",-9.000000000000014,-5.540692485515527,-53.983706192659355,-7.131205203798154
78.,"carbonylcondensation","CC(C=C)=O.O=C(CC(C)=O)OCC.[O-]CC>>CC(CCC(C(OCC)=O)C(C)=O)=O","CC(=O)CCCl.CCO.CCOC(=O)CC(C)=O.CC[O-].[Na+].CC[O-].[Na+]>>CC(CCC(C(OCC)=O)C(C)=O)=O","CC(CCC(C(OCC)=O)C(C)=O)=O","CCOC(=O)C(CCC(C)=O)C(C)=O",0.9397376775250044,"6031c42271c8b600012f8277","6036f71971c8b600013616c7",-1.8300749985577056,-5.58222934587611,-53.6147098441152,-28.23044461680052
79.,"carbonylcondensation","NC(C=C)=O.O=C(CC#N)OCC.[O-]CC>>NC(CCC(C(OCC)=O)C#N)=O","CCOC(=O)CC#N.NC(=O)CCBr>>NC(CCC(C(OCC)=O)C#N)=O","NC(CCC(C(OCC)=O)C#N)=O","CCOC(=O)C(C#N)CCC(N)=O",0.9790199150746226,"6031c42271c8b600012f8277","6036f73271c8b600013616f2",-1.8300749985577056,-5.68304705771209,3.895065160211743,-2.0040871501098705
80.,"carbonylcondensation","N#CC=C.CC(CC(C)=O)=O.[O-]CC>>N#CCCC(C(C)=O)C(C)=O","CC(=O)CC(C)=O.N#CCCBr>>N#CCCC(C(C)=O)C(C)=O","N#CCCC(C(C)=O)C(C)=O","CC(=O)C(CCC#N)C(C)=O",0.9944253192651081,"6031c42271c8b600012f8277","6036f74b71c8b60001361714",-13.169925001442309,-6.937349877023411,-7.444784842672902,-2.8714194759839593
81.,"organocopper","CCCBr.C1([Cu-]C2=CC=CC=C2)=CC=CC=C1.[Li+]>>CCCC3=CC=CC=C3","C=CCc1ccccc1.[H][H]>>CCCC3=CC=CC=C3","CCCC3=CC=CC=C3","CCCc1ccccc1",0.999887238430133,"6034829b71c8b600013313f6","6036f98171c8b6000136194f",-42.87342308427443,-12.634378003465429,-2.1699250014423086,-7.614154019094848
82.,"organocopper","CCCCC/C=C/I.C[Cu-]C.[Li+]>>CCCCC/C=C/C","C/C=C/[Mg]Br.C1CCOC1.CCCCCBr>>CCCCC/C=C/C","CCCCC/C=C/C","C/C=C/CCCCC",0.7370376550129045,"6034829b71c8b600013313f6","6036f99a71c8b60001361982",-23.70349808283212,-14.968724171502117,-61.569269691115046,-7.957370682386591
83.,"organocopper","BrC1=CC=CC=C1.CCC[Cu-]CCC.[Li+]>>CCCC2=CC=CC=C2","C=CCc1ccccc1.[H][H]>>CCCC2=CC=CC=C2","CCCC2=CC=CC=C2","CCCc1ccccc1",0.999887238430133,"6034829b71c8b600013313f6","6036f9b271c8b600013619a3",-28.53357308138981,-13.030305568812325,-2.1699250014423086,-7.614154019094848
84.,"organocopper","CCCCOS(C1=CC=C(C)C=C1)(=O)=O.CC([Cu-]C(C)=C)=C.[Li+]>>CCCCC(C)=C","C1CCOC1.CC(C)(C)[O-].[K+].CCCCC(C)=O.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].O.CC(C)(C)[O-].[K+].C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]>>CCCCC(C)=C","CCCCC(C)=C","C=C(C)CCCC",0.9986858402822557,"6034829b71c8b600013313f6","6036f9cb71c8b600013619d0",-142.4677382589093,-12.610087880971449,-277.04911228433934,-50.2526906289893
85.,"organocopper","ClC(CCC)=O.C1([Cu-]C2=CC=CC=C2)=CC=CC=C1.[Li+]>>O=C(CCC)C3=CC=CC=C3","Br[Mg]c1ccccc1.CCCC(=O)N(C)OC>>O=C(CCC)C3=CC=CC=C3","O=C(CCC)C3=CC=CC=C3","CCCC(=O)c1ccccc1",0.9999963045202165,"6034829b71c8b600013313f6","6036f9e571c8b600013619fa",-48.87342308427442,-12.272972172203538,-102.28650020891882,-4.7040146936588245
86.,"organocopper","O=C1C=C[C@H](C(C)C)CC1.C[Cu-]C.[Li+]>>O=C2C[C@@H](C)[C@H](C(C)C)CC2","CC(C)[C@@H]1CCC(O)C[C@H]1C.ClCCl.O=[Cr](=O)([O-])Cl.c1cc[nH+]cc1>>O=C2C[C@@H](C)[C@H](C(C)C)CC2","O=C2C[C@@H](C)[C@H](C(C)C)CC2","CC(C)[C@@H]1CCC(=O)C[C@H]1C",0.9999672182191764,"6034829b71c8b600013313f6","6036fa6c71c8b60001361a80",2.25106176416773,-14.460961248782324,-126.02666340901484,-13.461449074009328
87.,"organocopper","O=C(C1=CC=C([N+]([O-])=O)C=C1)Cl.C[Cu-]C.[Li+]>>CC(C2=CC=C([N+]([O-])=O)C=C2)=O","CC(=O)Cl.Cl[Al](Cl)Cl.O=[N+]([O-])c1ccccc1.S=C=S>>CC(C2=CC=C([N+]([O-])=O)C=C2)=O","CC(C2=CC=C([N+]([O-])=O)C=C2)=O","CC(=O)c1ccc([N+](=O)[O-])cc1",0.9929245082667838,"6034829b71c8b600013313f6","6036fa8471c8b60001361ab9",-28.533573081389818,-14.80774021171191,-43.131512115336136,-11.628161981234818
88.,"organocopper","O=C(CCCC(Cl)=O)OC.CC(C)CCC[Cu-]CCCC(C)C.[Li+]>>O=C(CCCC(CCCC(C)C)=O)OC","CC(C)CCCC(=O)CCCC(=O)O.CO.C[Si](C)(C)C=[N+]=[N-].ClCCl>>O=C(CCCC(CCCC(C)C)=O)OC","O=C(CCCC(CCCC(C)C)=O)OC","COC(=O)CCCC(=O)CCCC(C)C",0.9999952316416056,"6034829b71c8b600013313f6","6036fa9d71c8b60001361ad9",-34.53357308138982,-11.76612198266487,-71.73412532287895,-10.175239821685192
89.,"organocopper","CCCCCC/C=C(C(C)=O)\C.C[Cu-]C.[Li+]>>CCCCCCC(C)C(C(C)=O)C","CCCCCCC(C)C(C)C(=O)N(C)OC.CCOCC.[Li]C>>CCCCCCC(C)C(C(C)=O)C","CCCCCCC(C)C(C(C)=O)C","CCCCCCC(C)C(C)C(C)=O",0.9999905825177462,"6034829b71c8b600013313f6","6036fab771c8b60001361b07",12.930761769936964,-13.916609284675548,-99.84171536624592,-8.625194146959142
90.,"organocopper","CCCCC1CO1.C[Cu-]C.[Li+]>>CCCCC(O)CC","CCCCC=O.CCOCC.CC[Mg]Br>>CCCCC(O)CC","CCCCC(O)CC","CCCCC(O)CC",0.9999629268237316,"6034829b71c8b600013313f6","6036facf71c8b60001361b2f",-26.088788238716916,-14.668695892299322,-18.104934839788285,-7.334885601167482
91.,"acetylide","C#[C-].CCl>>C#CC","CC#C[Si](CC)(CC)CC.CCCC[N+](CCCC)(CCCC)CCCC.[F-]>>C#CC","C#CC","C#CC",0.46452034659881664,"6035b34b71c8b6000134ac42","6036fc5f71c8b60001361d08",-3.1996723448363635,-5.133124953109955,-110.05889368905356,-10.932678855083058
92.,"acetylide","[C-]#CC.ClCC>>CC#CCC","C#CC.C1CCOC1.CI.[Li]CCCC>>CC#CCC","CC#CCC","CC#CC",0.9770146549320043,"6035b34b71c8b6000134ac42","6036fc7971c8b60001361d3f",-7.199672344836365,-3.995182144685746,-48.36959734627868,-10.856852866499956
93.,"acetylide","C#[C-].C1OC1>>OCCC#C","C#CCCOC1CCCCO1.Cl>>OCCC#C","OCCC#C","C#CCCO",0.9511106389138894,"6035b34b71c8b6000134ac42","6036fc9271c8b60001361d6c",8.415037499278846,-4.322596659826865,-96.5293250129808,-6.191557458360177
94.,"acetylide","CC1(C)OC1.C#[C-]>>OC(C)(C)CC#C","C#CCBr.CC(C)=O.CCOCC.[Mg]>>OC(C)(C)CC#C","OC(C)(C)CC#C","C#CCC(C)(C)O",0.9999845029451808,"6035b34b71c8b6000134ac42","6036fcab71c8b60001361d92",-10.754887502163477,-4.668645771069085,-26.784634845557527,-12.47056000272475
95.,"acetylide","CC(C#[C-])C.ClCCC>>CC(C)C#CCCC","C#CC(C)C.CCCBr.[Li]CCCC>>CC(C)C#CCCC","CC(C)C#CCCC","CCCC#CC(C)C",0.9999758009052494,"6035b34b71c8b6000134ac42","6036fcc571c8b60001361db4",-7.199672344836372,-3.512892848691174,-33.19967234483637,-6.983606545664852
96.,"acetylide","CC(CCC)=O.CC#[C-]>>C[C@](O)(C#CC)CCC","C#C[C@](C)(O)CCC.CI.[Li]CCCC>>C[C@](O)(C#CC)CCC","C[C@](O)(C#CC)CCC","CC#C[C@](C)(O)CCC",0.9397004402994258,"6035b34b71c8b6000134ac42","6036fd4b71c8b60001361e4f",42.415037499278846,-3.3004924285086705,-29.199672344836372,-8.459247159444175
97.,"acetylide","CC(C)CC#[C-].O=C1CCCC1>>CC(C)CC#CC2(O)CCCC2","C#CCC(C)C.O=C1CCCC1.[Li]CCCC>>CC(C)CC#CC2(O)CCCC2","CC(C)CC#CC2(O)CCCC2","CC(C)CC#CC1(O)CCCC1",0.9999672182591929,"6035b34b71c8b6000134ac42","6036fd6471c8b60001361e70",10.415037499278839,-3.2660974537165215,-15.584962500721161,-6.448676605235654
98.,"acetylide","CC#[C-].O=C(CC)CC>>OC(CC)(C#CC)CC","CC#C[Mg]Br.C1CCOC1.CCC(=O)CC.[Cl-].[NH4+]>>OC(CC)(C#CC)CC","OC(CC)(C#CC)CC","CC#CC(O)(CC)CC",0.9997964281081352,"6035b34b71c8b6000134ac42","6036fd7d71c8b60001361e94",10.415037499278839,-3.9017556332072942,-44.78463484555752,-24.141093353992336
99.,"acetylide","[H]C(C1=CC=CC=C1)=O.[C-]#CCC>>[H][C@@](O)(C#CCC)C2=CC=CC=C2","C#C[C@@H](O)c1ccccc1.C1CCOC1.CCBr.CCOCC.O.[Li]CCCC>>[H][C@@](O)(C#CCC)C2=CC=CC=C2","[H][C@@](O)(C#CCC)C2=CC=CC=C2","CCC#C[C@@H](O)c1ccccc1",0.9998710267041002,"6035b34b71c8b6000134ac42","6036fd9671c8b60001361eb8",31.094737505048087,-3.36846097227392,-79.53952234772096,-16.504644702616982
100.,"acetylide","[C-]#CC1=CC=CC=C1.CCBr>>CCC#CC2=CC=CC=C2","C#Cc1ccccc1.CCI.[Li]CCCC>>CCC#CC2=CC=CC=C2","CCC#CC2=CC=CC=C2","CCC#Cc1ccccc1",0.9999432590502922,"6035b34b71c8b6000134ac42","6036fdae71c8b60001361ee2",-7.199672344836365,-3.299615538660042,-33.199672344836365,-7.03935930556379
